id,Easting,Northing,Longitude,Latitude
117,708257.000,9324007.000,106.882,-6.112
158,708256.000,9324006.500,106.882,-6.112
159,708256.500,9324006.500,106.882,-6.112
160,708257.000,9324006.500,106.882,-6.112
161,708257.500,9324006.500,106.882,-6.112
200,708255.500,9324006.000,106.882,-6.112
201,708256.000,9324006.000,106.882,-6.112
202,708256.500,9324006.000,106.882,-6.112
203,708257.000,9324006.000,106.882,-6.112
204,708257.500,9324006.000,106.882,-6.112
205,708258.000,9324006.000,106.882,-6.112
242,708255.000,9324005.500,106.882,-6.112
243,708255.500,9324005.500,106.882,-6.112
244,708256.000,9324005.500,106.882,-6.112
245,708256.500,9324005.500,106.882,-6.112
246,708257.000,9324005.500,106.882,-6.112
247,708257.500,9324005.500,106.882,-6.112
248,708258.000,9324005.500,106.882,-6.112
249,708258.500,9324005.500,106.882,-6.112
283,708254.000,9324005.000,106.882,-6.112
284,708254.500,9324005.000,106.882,-6.112
285,708255.000,9324005.000,106.882,-6.112
286,708255.500,9324005.000,106.882,-6.112
287,708256.000,9324005.000,106.882,-6.112
288,708256.500,9324005.000,106.882,-6.112
289,708257.000,9324005.000,106.882,-6.112
290,708257.500,9324005.000,106.882,-6.112
291,708258.000,9324005.000,106.882,-6.112
292,708258.500,9324005.000,106.882,-6.112
325,708253.500,9324004.500,106.882,-6.112
326,708254.000,9324004.500,106.882,-6.112
327,708254.500,9324004.500,106.882,-6.112
328,708255.000,9324004.500,106.882,-6.112
329,708255.500,9324004.500,106.882,-6.112
330,708256.000,9324004.500,106.882,-6.112
331,708256.500,9324004.500,106.882,-6.112
332,708257.000,9324004.500,106.882,-6.112
333,708257.500,9324004.500,106.882,-6.112
334,708258.000,9324004.500,106.882,-6.112
335,708258.500,9324004.500,106.882,-6.112
336,708259.000,9324004.500,106.882,-6.112
366,708252.500,9324004.000,106.882,-6.112
367,708253.000,9324004.000,106.882,-6.112
368,708253.500,9324004.000,106.882,-6.112
369,708254.000,9324004.000,106.882,-6.112
370,708254.500,9324004.000,106.882,-6.112
371,708255.000,9324004.000,106.882,-6.112
