id,longitude,latitude,dist_to_prev_m,utm_x,utm_y
32,106.881763,-6.1124,0.0,708247.4328318649,9324006.237178631
33,106.881768,-6.1124,0.5528138732765091,708247.9863583448,9324006.235242184
34,106.881772,-6.1124,0.44225110019239877,708248.4291795307,9324006.233693022
35,106.881777,-6.1124,0.5528138748477006,708248.9827060134,9324006.231756566
36,106.881781,-6.1124,0.44225110019239877,708249.4255272014,9324006.230207399
37,106.881786,-6.1124,0.5528138748477006,708249.9790536884,9324006.228270933
38,106.881791,-6.1124,0.5528138748477006,708250.5325801768,9324006.226334462
39,106.881795,-6.1124,0.4422510986212073,708250.9754013668,9324006.224785281
40,106.8818,-6.1124,0.5528138748477006,708251.5289278568,9324006.222848801
41,106.881804,-6.1124,0.44225110019239877,708251.9717490508,9324006.221299613
42,106.881809,-6.1124,0.5528138748477006,708252.5252755447,9324006.219363125
43,106.881813,-6.1124,0.4422510986212073,708252.9680967394,9324006.21781393
44,106.881818,-6.1124,0.5528138748477006,708253.5216232348,9324006.21587743
45,106.881822,-6.1124,0.44225110019239877,708253.9644444332,9324006.214328228
61,106.881763,-6.112405,6.546853761358637,708247.4308972387,9324005.68417205
62,106.881768,-6.112405,0.5528138681103525,708247.9844237133,9324005.6822356
63,106.881772,-6.112405,0.4422510960594735,708248.427244895,9324005.680686437
64,106.881777,-6.112405,0.552813869681544,708248.9807713726,9324005.678749979
65,106.881782,-6.112405,0.552813869681544,708249.534297853,9324005.676813517
66,106.881786,-6.112405,0.4422510960594735,708249.9771190383,9324005.675264342
67,106.881791,-6.112405,0.552813869681544,708250.5306455216,9324005.67332787
68,106.881795,-6.112405,0.44225109448828204,708250.9734667076,9324005.671778688
69,106.8818,-6.112405,0.552813869681544,708251.5269931924,9324005.669842208
70,106.881804,-6.112405,0.4422510960594735,708251.969814382,9324005.668293018
71,106.881809,-6.112405,0.552813869681544,708252.523340871,9324005.666356528
72,106.881813,-6.112405,0.44225109448828204,708252.9661620616,9324005.66480733
73,106.881818,-6.112405,0.552813869681544,708253.519688552,9324005.662870832
90,106.881763,-6.112409,6.097197125627025,708247.4293495363,9324005.241766782
91,106.881768,-6.112409,0.5528138639774242,708247.982876007,9324005.239830332
92,106.881772,-6.112409,0.44225109275313085,708248.4256971853,9324005.238281168
93,106.881777,-6.112409,0.5528138655486157,708248.9792236588,9324005.23634471
94,106.881782,-6.112409,0.5528138655486157,708249.5327501352,9324005.234408246
95,106.881786,-6.112409,0.44225109275313085,708249.9755713171,9324005.232859071
96,106.881791,-6.112409,0.5528138655486157,708250.5290977963,9324005.230922597
97,106.881795,-6.112409,0.4422510911819393,708250.971918979,9324005.229373414
98,106.8818,-6.112409,0.5528138655486157,708251.5254454596,9324005.227436932
99,106.881804,-6.112409,0.44225109275313085,708251.968266646,9324005.225887742
100,106.881809,-6.112409,0.5528138655486157,708252.5217931308,9324005.22395125
101,106.881813,-6.112409,0.4422510911819393,708252.9646143182,9324005.222402053
102,106.881818,-6.112409,0.5528138655486157,708253.5181408043,9324005.220465552
118,106.881759,-6.112414,6.54685365202578,708246.9845937351,9324004.690309357
119,106.881763,-6.112414,0.44225108862019946,708247.4274149071,9324004.688760199
120,106.881768,-6.112414,0.55281385881126,708247.9809413726,9324004.686823748
121,106.881773,-6.112414,0.5528138603824515,708248.5344678395,9324004.684887292
122,106.881777,-6.112414,0.44225108862019946,708248.9772890152,9324004.683338122
123,106.881782,-6.112414,0.5528138603824515,708249.5308154864,9324004.681401657
124,106.881786,-6.112414,0.44225108862019946,708249.9736366642,9324004.67985248
125,106.881791,-6.112414,0.5528138603824515,708250.5271631381,9324004.677916005
126,106.881795,-6.112414,0.442251087049008,708250.9699843168,9324004.676366823
127,106.8818,-6.112414,0.5528138603824515,708251.5235107923,9324004.674430337
128,106.881804,-6.112414,0.44225108862019946,708251.9663319746,9324004.672881147
129,106.881809,-6.112414,0.5528138603824515,708252.5198584542,9324004.670944653
130,106.881813,-6.112414,0.442251087049008,708252.9626796374,9324004.669395454
131,106.881818,-6.112414,0.5528138603824515,708253.5162061184,9324004.667458951
147,106.881759,-6.112418,6.53834942625765,708246.9830460339,9324004.247904092
148,106.881763,-6.112418,0.44225108531385193,708247.4258672027,9324004.246354934
149,106.881768,-6.112418,0.5528138546783257,708247.9793936639,9324004.244418481
150,106.881773,-6.112418,0.5528138562495172,708248.5329201268,9324004.242482023
151,106.881777,-6.112418,0.44225108531385193,708248.9757412991,9324004.240932852
152,106.881782,-6.112418,0.5528138562495172,708249.5292677663,9324004.238996387
153,106.881786,-6.112418,0.44225108531385193,708249.9720889407,9324004.23744721
154,106.881791,-6.112418,0.5528138562495172,708250.5256154106,9324004.235510733
155,106.881795,-6.112418,0.4422510837426605,708250.968436586,9324004.233961547
156,106.8818,-6.112418,0.5528138562495172,708251.5219630573,9324004.232025063
157,106.881804,-6.112418,0.44225108531385193,708251.9647842363,9324004.230475869
158,106.881809,-6.112418,0.5528138562495172,708252.5183107118,9324004.228539376
159,106.881813,-6.112418,0.4422510837426605,708252.9611318917,9324004.226990176
160,106.881818,-6.112418,0.5528138562495172,708253.5146583687,9324004.225053672
161,106.881822,-6.112418,0.44225108531385193,708253.9574795521,9324004.223504465
176,106.881759,-6.112423,6.987607954957751,708246.9811114059,9324003.69489751
177,106.881764,-6.112423,0.5528138510833455,708247.5346378622,9324003.69296106
178,106.881768,-6.112423,0.4422510796097231,708247.9774590267,9324003.691411896
179,106.881773,-6.112423,0.5528138510833455,708248.5309854844,9324003.689475438
180,106.881777,-6.112423,0.44225108118091455,708248.9738066526,9324003.687926266
181,106.881782,-6.112423,0.5528138510833455,708249.5273331145,9324003.685989797
182,106.881786,-6.112423,0.44225108118091455,708249.970154285,9324003.684440618
183,106.881791,-6.112423,0.5528138510833455,708250.5236807497,9324003.682504142
184,106.881795,-6.112423,0.4422510796097231,708250.966501921,9324003.680954956
185,106.8818,-6.112423,0.5528138510833455,708251.5200283872,9324003.679018468
186,106.881804,-6.112423,0.44225108118091455,708251.962849562,9324003.677469274
187,106.881809,-6.112423,0.5528138510833455,708252.5163760324,9324003.675532779
188,106.881813,-6.112423,0.4422510796097231,708252.9591972082,9324003.673983578
189,106.881818,-6.112423,0.5528138510833455,708253.51272368,9324003.672047071
190,106.881822,-6.112423,0.44225108118091455,708253.9555448594,9324003.670497863
191,106.881827,-6.112423,0.5528138510833455,708254.5090713353,9324003.668561349
192,106.881831,-6.112423,0.44225108118091455,708254.9518925168,9324003.667012133
193,106.881836,-6.112423,0.5528138510833455,708255.5054189956,9324003.665075608
194,106.88184,-6.112423,0.4422510796097231,708255.9482401782,9324003.663526386
195,106.881845,-6.112423,0.5528138510833455,708256.5017666584,9324003.661589852
196,106.881849,-6.112423,0.44225108118091455,708256.9445878447,9324003.66004062
197,106.881854,-6.112423,0.5528138510833455,708257.4981143291,9324003.658104079
205,106.881759,-6.112427,10.512876232146883,708246.9795637024,9324003.252492245
206,106.881764,-6.112427,0.5528138469504049,708247.5330901546,9324003.250555793
207,106.881768,-6.112427,0.44225107630337074,708247.9759113158,9324003.249006629
208,106.881773,-6.112427,0.5528138469504049,708248.5294377694,9324003.247070167
209,106.881777,-6.112427,0.4422510778745622,708248.9722589343,9324003.245520996
210,106.881782,-6.112427,0.5528138469504049,708249.5257853922,9324003.243584527
211,106.881786,-6.112427,0.4422510778745622,708249.9686065592,9324003.242035346
212,106.881791,-6.112427,0.5528138469504049,708250.5221330199,9324003.240098868
213,106.881795,-6.112427,0.44225107630337074,708250.9649541879,9324003.23854968
214,106.8818,-6.112427,0.5528138469504049,708251.5184806499,9324003.236613192
215,106.881804,-6.112427,0.4422510778745622,708251.9613018215,9324003.235063998
216,106.881809,-6.112427,0.5528138469504049,708252.5148282878,9324003.2331275
217,106.881813,-6.112427,0.44225107630337074,708252.9576494601,9324003.231578298
218,106.881818,-6.112427,0.5528138469504049,708253.5111759278,9324003.229641791
219,106.881822,-6.112427,0.4422510778745622,708253.9539971038,9324003.228092581
220,106.881827,-6.112427,0.5528138469504049,708254.5075235758,9324003.226156065
221,106.881831,-6.112427,0.4422510778745622,708254.9503447542,9324003.22460685
222,106.881836,-6.112427,0.5528138469504049,708255.5038712289,9324003.222670324
223,106.88184,-6.112427,0.44225107630337074,708255.9466924081,9324003.221121099
224,106.881845,-6.112427,0.5528138469504049,708256.5002188841,9324003.219184564
225,106.881849,-6.112427,0.4422510778745622,708256.9430400669,9324003.217635334
226,106.881854,-6.112427,0.5528138469504049,708257.4965665473,9324003.21569879
227,106.881858,-6.112427,0.44225107630337074,708257.9393877309,9324003.21414955
228,106.881863,-6.112427,0.5528138469504049,708258.4929142128,9324003.212212997
229,106.881867,-6.112427,0.4422510778745622,708258.9357354001,9324003.21066375
230,106.881872,-6.112427,0.5528138469504049,708259.4892618859,9324003.208727188
231,106.881876,-6.112427,0.4422510778745622,708259.9320830755,9324003.207177933
234,106.881759,-6.112432,12.947786166213106,708246.9776290717,9324002.699485663
235,106.881764,-6.112432,0.5528138417842255,708247.5311555187,9324002.697549209
